sku,url,price,shipping_price,quantity,shipping_days,supplier,variation,errors
sheva109,https://www.ebay.com/itm/295466894839,89.99,6.49,10,10days,Acme Tools,false,[]
sheva110,https://www.ebay.com/itm/144052136803,64.63,0.0,4,9days,JB Tool Sales,false,[]
sheva111,https://www.ebay.com/itm/144717220554,23.65,0.0,29,9days,JB Tool Sales,false,[]
sheva112,https://www.ebay.com/itm/152665204182,42.95,0.0,4,11days,Edmondson Supply,false,[]
sheva113,https://www.ebay.com/itm/173759744587,41.49,0.0,3,11days,Edmondson Supply,false,[]
sheva114,https://www.ebay.com/itm/173759744587,41.49,0.0,3,11days,Edmondson Supply,false,[]
sheva115,https://www.ebay.com/itm/194158009414,0,0,0,0days,{listing off},false,[]
sheva116,https://www.ebay.com/itm/155521008872,11.99,0.0,5,11days,Edmondson Supply,false,[]
sheva117,https://www.ebay.com/itm/333486791416,26.49,5.35,800,10days,keyco Hardware Direct,false,[]
sheva118,https://www.ebay.com/itm/333830871911,23.97,5.0,100,6days,Zoro Tools,false,[]
sheva119,https://www.ebay.com/itm/333896303220,9.15,5.0,100,6days,Zoro Tools,false,[]
sheva120,https://www.ebay.com/itm/334076710492,10.45,5.0,100,6days,Zoro Tools,false,[]
sheva121,https://www.ebay.com/itm/334077270022,6.35,5.0,27,6days,Zoro Tools,false,[]
sheva122,https://www.ebay.com/itm/334211866349,97.79,0.0,38,6days,Zoro Tools,false,[]
sheva123,https://www.ebay.com/itm/284646601958,57.99,6.49,1496,10days,Acme Tools,false,[]
sheva124,https://www.ebay.com/itm/144717197325,44.33,0.0,6,9days,JB Tool Sales,false,[]
sheva125,https://www.ebay.com/itm/162706397993,16.99,0.0,4,11days,Edmondson Supply,false,[]
sheva126,https://www.ebay.com/itm/144052138858,62.57,0.0,3,9days,JB Tool Sales,false,[]
sheva127,https://www.ebay.com/itm/163360043183,23.95,0.0,7,11days,Edmondson Supply,false,[]
sheva128,https://www.ebay.com/itm/193076509136,15.91,0.0,3,9days,JB Tool Sales,false,[]
sheva129,https://www.ebay.com/itm/383864725812,14.97,5.0,100,7days,Zoro Tools,false,[]
sheva130,https://www.ebay.com/itm/383867309595,199.97,0.0,100,7days,Zoro Tools,false,[]
sheva131,https://www.ebay.com/itm/364235446153,29.13,0.0,16,5days,MSC Industrial Direct,false,[]
sheva132,https://www.ebay.com/itm/383893122027,20.95,5.0,47,7days,Zoro Tools,false,[]
sheva133,https://www.ebay.com/itm/175188921521,33.99,0.0,7,11days,Edmondson Supply,false,[]
sheva134,https://www.ebay.com/itm/195688777644,18.7,0.0,1,9days,JB Tool Sales,false,[]
sheva135,https://www.ebay.com/itm/385945990228,20.89,5.0,100,6days,Zoro Tools,false,[]
sheva136,https://www.ebay.com/itm/144717209623,25.49,0.0,2,7days,JB Tool Sales,false,[]
sheva137,https://www.ebay.com/itm/394614822627,99.97,0.0,5,9days,CPO Commerce,false,[]
sheva138,https://www.ebay.com/itm/400722751337,10.77,3.59,39,11days,goodplace2shop,false,[]
sheva139,https://www.ebay.com/itm/401399296965,15.97,3.59,3,12days,goodplace2shop,false,[]
sheva140,https://www.ebay.com/itm/131138293032,9.99,3.59,55,11days,goodplace2shop,false,[]
sheva141,https://www.ebay.com/itm/401866139204,22.55,0.0,4,9days,JB Tool Sales,false,[]
sheva142,https://www.ebay.com/itm/383866010312,40.99,5.0,100,7days,Zoro Tools,false,[]
sheva143,https://www.ebay.com/itm/402872705578,67.98,0.0,5,9days,JB Tool Sales,false,[]
sheva144,https://www.ebay.com/itm/403887055091,11.88,0.0,3,9days,JB Tool Sales,false,[]
sheva145,https://www.ebay.com/itm/403909760127,41.95,0.0,1,11days,goodplace2shop,false,[]
sheva146,https://www.ebay.com/itm/114437025783,230.0,0.0,10,10days,Green Pro Supplies,false,[]
